Loi,E,F,N
a::06.5778,"Groot, de [Heirs of the widow]","Groot, de [Héritiers de la veuve]","Groot, de [Erfgenamen van de weduwe]"
a::06.5784,"Goemaere, Hendrik","Goemaere, Henri","Goemaere, Hendrik"
a::06.5843,"Jaye, Robert & Hendrick Jaye [widow]","Jaye, Robert & Henri Jaye [veuve]","Jaye, Robert & Hendrick Jaye [weduwe]"
a::06.5845,"Jaye, Jan Frans","Jaye, Jan Frans","Jaye, Jan Frans"
a::06.5856,"Plat, le, Jacobus","Plat, le, Jacobus","Plat, le, Jacobus"
a::06.5897,"Zangrius, Michael","Zangrius, Michael","Zangrius, Michael"
a::06.5905,"Willemsens, Johannes Petrus I","Willemsens, Johannes Petrus I","Willemsens, Johannes Petrus I"
a::06.5951,"Jouret, Petrus [Widow]","Jouret, Petrus [Veuve]","Jouret, Petrus [Weduwe]"
a::06.5952,"Thieullier, Hendrik II [Widow] & Andreas Paulus Colpyn","Thieullier, Hendrik II [Veuve] & Andreas Paulus Colpyn","Thieullier, Hendrik II [Weduwe] & Andreas Paulus Colpyn"
a::06.5953,"Saeyens, Josephus","Saeyens, Josephus","Saeyens, Josephus"
a::06.5963,"Cort, de, Joannes-Petrus II","Cort, de, Joannes-Petrus II","Cort, de, Joannes-Petrus II"
a::06.5964,"Verdussen, Henricus II [Widow]","Verdussen, Henricus II [Veuve]","Verdussen, Henricus II [Weduwe]"
a::06.5965,"Verdussen, Martinus","Verdussen, Martinus","Verdussen, Martinus"
a::06.5966,"Grangé, Petrus","Grangé, Petrus","Grangé, Petrus"
a::06.5967,"Vinck, Joannes Norbertus","Vinck, Joannes Norbertus","Vinck, Joannes Norbertus"
a::06.5968,"Heyliger, Josephus Henricus","Heyliger, Josephus Henricus","Heyliger, Josephus Henricus"
a::06.5969,t'Serstevens [Brothers],t'Serstevens [Frères],t'Serstevens [Gebroeders]
a::06.5970,"Quinqué, Adrien","Quinqué, Adrien","Quinqué, Adrien"
a::06.5971,"Roveroy, de, Joannes Godefridus Josephus","Roveroy, de, Joannes Godefridus Josephus","Roveroy, de, Joannes Godefridus Josephus"
a::06.5972,"Fricx, Georgius II","Fricx, Georgius II","Fricx, Georgius II"
a::06.5976,"Colpyn, Andreas Paulus","Colpyn, Andreas Paulus","Colpyn, Andreas Paulus"
a::06.5977,"Robyns, Joannes Paulus [Widow]","Robyns, Joannes Paulus [Veuve]","Robyns, Joannes Paulus [Weduwe]"
a::06.5979,"Parys, Joannes-Engelbertus","Parys, Joannes-Engelbertus","Parys, Joannes-Engelbertus"
a::06.5980,"Bincken, Hubert","Bincken, Hubert","Bincken, Hubert"
a::06.5981,"Michel, Joannes Petrus Georgius","Michel, Joannes Petrus Georgius","Michel, Joannes Petrus Georgius"
a::06.5982,"Carstiaenssens, Jan Baptist","Carstiaenssens, Jan Baptist","Carstiaenssens, Jan Baptist"
a::06.5983,"Grangé, Joannes","Grangé, Joannes","Grangé, Joannes"
a::06.5984,"Parys, Petrus Joannes","Parys, Pierre Jean","Parys, Petrus Joannes"
a::06.5985,"Leyssens, Ignatius","Leyssens, Ignatius","Leyssens, Ignatius"
a::06.5986,"Roveroy, de, Joannes Franciscus","Roveroy, de, Joannes Franciscus","Roveroy, de, Joannes Franciscus"
a::06.5987,"Rymers, Petrus Josephus","Rymers, Petrus Josephus","Rymers, Petrus Josephus"
a::06.5988,"Borckx, Joannes","Borckx, Joannes","Borckx, Joannes"
a::06.5989,"Michiels, Willem","Michiels, Willem","Michiels, Willem"
a::06.5991,"Jacobs, Guilielmus [Widow]","Jacobs, Guilielmus [Veuve]","Jacobs, Guilielmus [Weduwe]"
a::06.5994,"Cawe, Guillielmus","Cawe, Guillielmus","Cawe, Guillielmus"
a::06.6005,J.O.P.,J.O.P.,J.O.P.
a::06.6022,"Vinck, Franciscus Ignatius","Vinck, Franciscus Ignatius","Vinck, Franciscus Ignatius"
a::06.6025,"Lemmens, Philippus Josephus","Lemmens, Philippus Josephus","Lemmens, Philippus Josephus"
a::06.6034,"Marchant, L. [Fictitious printer]","Marchant, L. [Imprimeur fictif]","Marchant, L. [Fictieve drukker]"
a::06.6045,Derbaix [Brothers],Derbaix [Frères],Derbaix [Gebroeders]
a::06.6053,"Elzevier, Daniel","Elzevier, Daniel","Elzevier, Daniel"
a::06.6071,"Coignard, Jean Baptiste I","Coignard, Jean Baptiste I","Coignard, Jean Baptiste I"
a::06.6088,"Elst, vander, Franciscus-Josephus","Elst, vander, Franciscus-Josephus","Elst, vander, Franciscus-Josephus"
a::06.6098,"Goesin, de, Petrus Franciscus II","Goesin, de, Petrus Franciscus II","Goesin, de, Petrus Franciscus II"
a::06.6099,"Velde, van de, Jacob II","Velde, van de, Jacob II","Velde, van de, Jacob II"
a::06.6140,"Herdt, d', Judocus","Herdt, d', Judocus","Herdt, d', Judocus"
a::06.6141,"Haert, van der, Joannes Baptista I","Haert, van der, Joannes Baptista I","Haert, van der, Joannes Baptista I"
a::06.6150,"Mortier, Pieter I","Mortier, Pieter I","Mortier, Pieter I"
a::06.6172,"Korsten, Joannes","Korsten, Joannes","Korsten, Joannes"
a::06.6175,"Elst, vander, Laurentius [Widow]","Elst, vander, Laurentius [Veuve]","Elst, vander, Laurentius [Weduwe]"
a::06.6176,"Verelst, Romanus","Verelst, Romanus","Verelst, Romanus"
a::06.6183,"Laureys, Jacques","Laureys, Jacques","Laureys, Jacques"
a::06.6184,"Vermeulen, Jacques","Vermeulen, Jacques","Vermeulen, Jacques"
a::06.6189,"Ermens, Josephus","Ermens, Josephus","Ermens, Josephus"
a::06.6190,"Collaer, Antoine","Collaer, Antoine","Collaer, Antoine"
a::06.6192,"Berghe, van den, Auguste","Berghe, van den, Auguste","Berghe, van den, Auguste"
a::06.6200,"Berghen, vanden, Josse","Berghen, vanden, Josse","Berghen, vanden, Josse"
a::06.6201,"Boucherie, Jean Joseph II","Boucherie, Jean Joseph II","Boucherie, Jean Joseph II"
a::06.6207,"Overbeke, van, Joannes Franciscus","Overbeke, van, Joannes Franciscus","Overbeke, van, Joannes Franciscus"
a::06.6221,"Laer, van, Willem","Laer, van, Willem","Laer, van, Willem"
a::06.6227,"Soest, van, Joannes Henricus","Soest, van, Joannes Henricus","Soest, van, Joannes Henricus"
a::06.6229,"Soest, van, Joannes Franciscus","Soest, van, Joannes Franciscus","Soest, van, Joannes Franciscus"
a::06.6230,"Thieullier, Hendrik II [Widow]","Thieullier, Hendrik II [Veuve]","Thieullier, Hendrik II [Weduwe]"
a::06.6231,"Mesens, Jacob III [Widow]","Mesens, Jacob III [Veuve]","Mesens, Jacob III [Weduwe]"
a::06.6234,"Gymnicus, Josephus","Gymnicus, Josephus","Gymnicus, Josephus"
a::06.6235,"Verdussen, Cornelius I & Henricus II [Widow]","Verdussen, Cornelius I & Henricus II [Veuve]","Verdussen, Cornelius I & Henricus II [Weduwe]"
a::06.6236,"Spanoghe, Cornelius Martinus","Spanoghe, Cornelius Martinus","Spanoghe, Cornelius Martinus"
a::06.6239,"Vos, de, Christophorus Hyacinthus","Vos, de, Christophorus Hyacinthus","Vos, de, Christophorus Hyacinthus"
a::06.6240,"Verdussen, Hieronymus VII Joannes","Verdussen, Hieronymus VII Joannes","Verdussen, Hieronymus VII Joannes"
a::06.6243,"Hey, vander, Petrus Lambertus","Hey, vander, Petrus Lambertus","Hey, vander, Petrus Lambertus"
a::06.6244,"Verdussen, Hieronymus VI [Widow]","Verdussen, Hieronymus VI [Veuve]","Verdussen, Hieronymus VI [Weduwe]"
a::06.6245,"Hey, vander, Conradus Ignatius","Hey, vander, Conradus Ignatius","Hey, vander, Conradus Ignatius"
a::06.6257,"Stichter, Cornelis II [Heirs of the widow]","Stichter, Cornelis II [Héritiers de la veuve]","Stichter, Cornelis II [Erfgenamen van de weduwe]"
a::06.6258,"Vermey, Christiaan","Vermey, Christiaan","Vermey, Christiaan"
a::06.6259,"Grangé, Antonius","Grangé, Antonius","Grangé, Antonius"
a::06.626,"Dooms, Judocus","Dooms, Judocus","Dooms, Judocus"
a::06.6260,"Verdussen, Hieronymus VII Joannes [Widow]","Verdussen, Hieronymus VII Joannes [Veuve]","Verdussen, Hieronymus VII Joannes [Weduwe]"
a::06.6261,"Schoesetters, Jacobus Simon","Schoesetters, Jacobus Simon","Schoesetters, Jacobus Simon"
a::06.6266,"Ween, van der, Franciscus Hieronymus & Dominicus","Ween, van der, François-Jérôme & Dominique","Ween, van der, Franciscus Hieronymus & Dominicus"
a::06.6267,vry drukkerye van de souverynteyt exclusief [Fictitious printer],vry drukkerye van de souverynteyt exclusief [Imprimeur fictif],vry drukkerye van de souverynteyt exclusief [Fictieve drukker]
a::06.6268,"Renatus, Daniël [Fictitious printer]","Renatus, Daniël [Imprimeur fictif]","Renatus, Daniël [Fictieve drukker]"
a::06.6272,"Groot, de, Johannes","Groot, de, Johannes","Groot, de, Johannes"
a::06.6274,Typis [Fictitious printer],Typis [Imprimeur fictif],Typis [Fictieve drukker]
a::06.6285,"Droomer, den, Joseph [Fictitious printer]","Droomer, den, Joseph [Imprimeur fictif]","Droomer, den, Joseph [Fictieve drukker]"
a::06.6286,"Braeckenier, de, Antoine Joseph Dominique","Braeckenier, de, Antoine Joseph Dominique","Braeckenier, de, Antoine Joseph Dominique"
a::06.6287,"Huyghe, Guillaume Ferdinand","Huyghe, Guillaume Ferdinand","Huyghe, Guillaume Ferdinand"
a::06.6288,Patriot printer,Imprimerie patriotique,Vaderlandse drukkerij
a::06.6289,"Haes, de, Petrus Josephus","Haes, de, Petrus Josephus","Haes, de, Petrus Josephus"
a::06.6290,Patriotic committee,Comité patriotique,Patriottisch comité
a::06.6291,"Jorez, Jean-Joseph","Jorez, Jean-Joseph","Jorez, Jean-Joseph"
a::06.6292,"Fernand, Charles-Jacques","Fernand, Charles-Jacques","Fernand, Charles-Jacques"
a::06.6293,"Poelman, Bernard-Grégoire-Constantin","Poelman, Bernard-Grégoire-Constantin","Poelman, Bernard-Grégoire-Constantin"
a::06.6294,"Spillebaut, Philippe-Jacques","Spillebaut, Philippe-Jacques","Spillebaut, Philippe-Jacques"
a::06.6298,"Doren, van, Jacobus","Doren, van, Jacobus","Doren, van, Jacobus"
a::06.6302,"Brandt, Mane-wel [Fictitious printer]","Brandt, Mane-wel [Imprimeur fictif]","Brandt, Mane-wel [Fictieve drukker]"
a::06.6305,Laporte,Laporte,Laporte
a::06.6306,"Belin, François I","Belin, François I","Belin, François I"
a::06.6307,"Hérissant, Jean-Thomas I [Widow]","Hérissant, Jean-Thomas I [Veuve]","Hérissant, Jean-Thomas I [Weduwe]"
a::06.6311,"Goetschy, Jean-Joseph","Goetschy, Jean-Joseph","Goetschy, Jean-Joseph"
a::06.6312,"Cnick, J.A.","Cnick, J.A.","Cnick, J.A."
a::06.6313,"Kimpe, Pierre Antoine","Kimpe, Pierre Antoine","Kimpe, Pieter Antonius"
a::06.6324,"Denique, Aegidius II","Denique, Aegidius II","Denique, Aegidius II"
a::06.6326,"Sassenus, Jacobus [Widow]","Sassenus, Jacobus [Veuve]","Sassenus, Jacobus [Weduwe]"
a::06.6331,"Haert, van der, Henricus Joannes [Widow]","Haert, van der, Henricus Joannes [Veuve]","Haert, van der, Henricus Joannes [Weduwe]"
a::06.6333,"Maswiens, Jean François","Maswiens, Jean François","Maswiens, Jean François"
a::06.6335,"Haert, van der, Henricus Joannes","Haert, van der, Henricus Joannes","Haert, van der, Henricus Joannes"
a::06.6336,"Caju, du, Jacobus Joannes","Caju, du, Jacobus Joannes","Caju, du, Jacobus Joannes"
a::06.6338,"Eton, John","Eton, Jean","Eton, Joannes"
a::06.6339,"Noorthover, van, Daniel","Noorthover, van, Daniel","Noorthover, van, Daniel"
a::06.6341,"Tellier, le, Jacobus Henricus","Tellier, le, Jacobus Henricus","Tellier, le, Jacobus Henricus"
a::06.6343,Quekers in de Steir [Fictitious printer],Quekers in de Steir [Imprimeur fictif],Quekers in de Steir [Fictieve drukker]
a::06.6353,"Diest, fraternity of Our Lady of Pain","Diest, fraternité de Notre-Dame des Sept Douleurs","Diest, broederschap van O.L. Vrouw van zeven weeën"
a::06.6361,"Louvain, Academic Press","Louvain, Imprimerie académique","Leuven, Academische drukkerij"
a::06.6362,"Sincere, Philetyme [Fictitious printer]","Sincere, Philetyme [Imprimeur fictif]","Sincere, Philetyme [Fictieve drukker]"
a::06.6363,Jan en Mus [Fictitious printer],Jan en Mus [Imprimeur fictif],Jan en Mus [Fictieve drukker]
a::06.6365,"Gimblet, Philippe","Gimblet, Philippe","Gimblet, Philippe"
a::06.6371,"Ongenâe, Grimmert [Fictitious printer]","Ongenâe, Grimmert [Imprimeur fictif]","Ongenâe, Grimmert [Fictieve drukker]"
a::06.6373,"Schuffelen, vander, Aloysius [Fictitious printer]","Schuffelen, vander, Aloysius [Imprimeur fictif]","Schuffelen, vander, Aloysius [Fictieve drukker]"
a::06.6375,"Hayez, Frédéric Maximilien","Hayez, Frédéric Maximilien","Hayez, Frédéric Maximilien"
a::06.6376,"Ours, d', Antoine","Ours, d', Antoine","Ours, d', Antoine"
a::06.6378,"Trattnern, de, Joannes Thomas","Trattnern, de, Joannes Thomas","Trattnern, de, Joannes Thomas"
a::06.6379,"Beernaerts, Franciscus","Beernaerts, Franciscus","Beernaerts, Franciscus"
a::06.6380,"Beernaerts, Franciscus [Widow]","Beernaerts, Franciscus [Veuve]","Beernaerts, Franciscus [Weduwe]"
a::06.6384,"Wit, de, Candidus [Fictitious printer]","Wit, de, Candidus [Imprimeur fictif]","Wit, de, Candidus [Fictieve drukker]"
a::06.6385,"Overweys, Hans [Fictitious printer]","Overweys, Hans [Imprimeur fictif]","Overweys, Hans [Fictieve drukker]"
a::06.6386,"Asinus, Uyl [Fictieve drukker]","Asinus, Uyl [Imprimeur fictif]","Asinus, Uyl [Fictieve drukker]"
a::06.6388,"Stormhoorn, van, Ignatius [Fictitious printer]","Stormhoorn, van, Ignatius [Imprimeur fictif]","Stormhoorn, van, Ignatius [Fictieve drukker]"
a::06.6389,Writers à la grecque,Ecrivains à la grecque,Schrijvers à la grecque
a::06.6390,"Michel, Franciscus","Michel, Franciscus","Michel, Franciscus"
a::06.6392,"Haert, vander, Joannes Baptista II","Haert, vander, Joannes Baptista II","Haert, vander, Joannes Baptista II"
a::06.6393,"Franckx, T.","Franckx, T.","Franckx, T."
a::06.6394,"Zangrius, Petrus V","Zangrius, Petrus V","Zangrius, Petrus V"
a::06.6395,"Velde, vande, Franciscus","Velde, vande, Franciscus","Velde, vande, Franciscus"
a::06.6396,"Corbeels, Petrus","Corbeels, Petrus","Corbeels, Petrus"
a::06.6397,"Overbeke, van, Joannes Martinus","Overbeke, van, Joannes Martinus","Overbeke, van, Joannes Martinus"
a::06.6398,"Meyer, J.","Meyer, J.","Meyer, J."
a::06.6399,Gutskoven-Franckx,Gutskoven-Franckx,Gutskoven-Franckx
a::06.6400,"Franckx, M.J.","Franckx, M.J.","Franckx, M.J."
a::06.6401,"Azevedo, Coutinho y Bernal, Josephus Felix","Azevedo, Coutinho y Bernal, Josephus Felix","Azevedo, Coutinho y Bernal, Josephus Felix"
a::06.6403,"Foppens, Franciscus II [Widow]","Foppens, Franciscus II [Veuve]","Foppens, Franciscus II [Weduwe]"
a::06.6404,"Fricx, Guillaume","Fricx, Guillaume","Fricx, Guillaume"
a::06.6405,"Moris, Jean","Moris, Jean","Moris, Jean"
a::06.6406,"Flon, Emmanuel","Flon, Emmanuel","Flon, Emmanuel"
a::06.6407,"Lemaire, Matthieu","Lemaire, Matthieu","Lemaire, Matthieu"
a::06.6408,"Pion, Franciscus [Widow]","Pion, Franciscus [Veuve]","Pion, Franciscus [Weduwe]"
a::06.6409,"Stryckwant, Gielis II","Stryckwant, Gielis II","Stryckwant, Gielis II"
a::06.6410,"Vos, de, Carolus","Vos, de, Carolus","Vos, de, Carolus"
a::06.6411,"Vos, de, Joannes-Baptista","Vos, de, Joannes-Baptista","Vos, de, Joannes-Baptista"
a::06.6412,"Vos, de, Andreas","Vos, de, Andreas","Vos, de, Andreas"
a::06.6415,"Foppens, Petrus","Foppens, Petrus","Foppens, Petrus"
a::06.6416,"Pauwels, Gerard","Pauwels, Gerard","Pauwels, Gerard"
a::06.6417,"Fricx, Georgius I","Fricx, Georgius I","Fricx, Georgius I"
a::06.6418,"Cordier, Jean & Pierre-Joseph de la Haye & compagnie","Cordier, Jean & Pierre-Joseph de la Haye & compagnie","Cordier, Jean & Pierre-Joseph de la Haye & compagnie"
a::06.6419,"Grieck, de, Emmanuel","Grieck, de, Emmanuel","Grieck, de, Emmanuel"
a::06.6420,"Laurenz, Emmanuel","Laurenz, Emmanuel","Laurenz, Emmanuel"
a::06.6421,"t'Serstevens, Franciscus II","t'Serstevens, Franciscus II","t'Serstevens, Franciscus II"
a::06.6422,"Boucherie, Jean-Joseph I","Boucherie, Jean-Joseph I","Boucherie, Jean-Joseph I"
a::06.6423,"Boubers, de, Jean-Louis","Boubers, de, Jean-Louis","Boubers, de, Jean-Louis"
a::06.6425,"t'Serstevens, Hubert François","t'Serstevens, Hubert François","t'Serstevens, Hubert François"
a::06.6426,"Leonard, Jean III","Leonard, Jean III","Leonard, Jean III"
a::06.6428,"Jorez, Jean-Baptiste","Jorez, Jean-Baptiste","Jorez, Jean-Baptiste"
a::06.6430,Freedom and truth [Fictitious printer],Liberté et verité [Imprimeur fictif],Vrijheid en waarheid [Fictieve drukker]
a::06.6432,"Bast, de, Pierre","Bast, de, Pierre","Bast, de, Pierre"
a::06.6434,"Francq, le, Benoît","Francq, le, Benoît","Francq, le, Benoît"
a::06.6436,"Trez, de, Pierre François","Trez, de, Pierre François","Trez, de, Pierre François"
a::06.6437,The oppressed justice [Fictitious printer],La justice opprimée [Imprimeur fictif],Verdrukte rechtvaardigheid [Fictieve drukker]
a::06.6443,"Vlaenderen, van, Joannes","Vlaenderen, van, Joannes","Vlaenderen, van, Joannes"
a::06.6444,"Bel, de, Aegidius","Bel, de, Gilles","Bel, de, Aegidius"
a::06.6445,"Vleminckx, Henricus","Vleminckx, Henri","Vleminckx, Henricus"
a::06.6446,"Meyer, Cornelis","Meyer, Corneille","Meyer, Cornelis"
a::06.6447,"Moreel, Andreas","Moreel, André","Moreel, Andreas"
a::06.6448,"Goesin, de, Petrus Franciscus I [widow] & Petrus Franciscus II de Goesin","Goesin, de, Pierre François I [veuve] & Pierre François II de Goesin","Goesin, de, Petrus Franciscus I [weduwe] & Petrus Franciscus II de Goesin"
a::06.6449,"Bernaert, Franciscus Benedictus","Bernaert, François Benoit","Bernaert, Franciscus Benedictus"
a::06.6450,"Stryckwant, Nicolaus II","Stryckwant, Nicolas II","Stryckwant, Nicolaus II"
a::06.6451,"Bertus, Lambertus","Bertus, Lambert","Bertus, Lambertus"
a::06.6452,Gimblet [Brothers],Gimblet [Frères],Gimblet [Gebroeders]
a::06.6453,"Ween, van der, Dominicus","Ween, van der, Dominique","Ween, van der, Dominicus"
a::06.6454,"Goesin, de, Petrus Franciscus III","Goesin, de, Pierre-François III","Goesin, de, Petrus Franciscus III"
a::06.6455,"Ween, van der, Franciscus Hieronymus","Ween, van der, François-Jérôme","Ween, van der, Franciscus Hieronymus"
a::06.6456,"Goesin, de, Petrus Franciscus II [widow] & Petrus Franciscus III","Goesin, de, Pierre-François II [veuve] & Pierre-François III","Goesin, de, Petrus Franciscus II [weduwe] & Petrus Franciscus III"
a::06.6457,"Vereecken, Petrus Joannes I","Vereecken, Pierre Jean I","Vereecken, Petrus Joannes I"
a::06.6460,"Roose, Paulus I","Roose, Paul I","Roose, Paulus I"
a::06.6461,"Follet, Petrus","Follet, Pierre","Follet, Petrus"
a::06.6462,"Macqué, Jean-Baptiste","Macqué, Jean-Baptiste","Macqué, Joannes Baptista II"
a::06.6463,"Praet, van, Joseph","Praet, van, Joseph","Praet, van, Jozef"
a::06.6466,"Moor, de, Cornelis I","Moor, de, Corneille I","Moor, de, Cornelis I"
a::06.6467,"Busscher, de, Joseph","Busscher, de, Joseph","Busscher, de, Jozef"
a::06.6468,"Sloovere, de, Petrus","Sloovere, de, Pierre","Sloovere, de, Petrus"
a::06.6470,"Begyn, Josse","Begyn, Josse","Begyn, Josse"
a::06.6471,"Goesin, de, Michiel Petrus [Widow]","Goesin, de, Michel Pierre [Veuve]","Goesin, de, Michiel Petrus [Weduwe]"
a::06.6472,"Goesin, de, Michiel Petrus","Goesin, de, Michel Pierre","Goesin, de, Michiel Petrus"
a::06.6473,"Goesin, de, Carolus Petrus","Goesin, de, Charles Pierre","Goesin, de, Carolus Petrus"
a::06.6474,"Gimblet, Jan","Gimblet, Jean","Gimblet, Jan"
a::06.6477,Hunneprik [Fictitious printer],Hunneprik [Imprimeur fictif],Hunneprik [Fictieve drukker]
a::06.6478,Geassocieerde vaartkapoenen [Fictitious printer],Geassocieerde vaartkapoenen [Imprimeur fictif],Geassocieerde vaartkapoenen [Fictieve drukker]
a::06.6479,"Michel, Joseph","Michel, Joseph","Michel, Jozef"
a::06.6480,"Jeghers, Pieter","Jeghers, Pierre","Jeghers, Pieter"
a::06.6487,"Ween, vande, Godfried [Fictitious printer]","Ween, vande, Godefroid [Imprimeur fictif]","Ween, vande, Godfried [Fictieve drukker]"
a::06.6490,"Vacat, widow [Fictitious printer]","Vacat, veuve [Imprimeur fictif]","Vacat, weduwe [Fictieve drukker]"
a::06.6493,"t'Serstevens, Josephus","t'Serstevens, Joseph","t'Serstevens, Josephus"
a::06.6505,"Walwein, Thomas Franciscus","Walwein, Thomas François","Walwein, Thomas Franciscus"
a::06.6508,"Stryckwant, Egide C.","Stryckwant, Egide C.","Stryckwant, Aegidius C."
a::06.6509,"Schoevaerts, Claude","Schoevaerts, Claude","Schoevaerts, Claudius"
a::06.6510,"Sanders, Zacharias","Sanders, Zacharias","Sanders, Zacharias"
a::06.6511,"Jorez, Louis","Jorez, Louis","Jorez, Louis"
a::06.6515,"Marchant, Jean Lambert","Marchant, Jean Lambert","Marchant, Jean Lambert"
a::06.6516,"Vleugaert, Jacobus Josephus","Vleugaert, Jacques-Joseph","Vleugaert, Jacobus Josephus"
a::06.6517,"Wydts, Andreas","Wydts, André","Wydts, Andreas"
a::06.6518,"Donia, Anthonius","Donia, Antoine","Donia, Anthonius"
a::06.6519,"Keienburg, van, Jan Wiebis [Fictitious printer]","Keienburg, van, Jan Wiebis [Imprimeur fictif]","Keienburg, van, Jan Wiebis [Fictieve drukker]"
a::06.6520,"Vleugaert, Joannes I","Vleugaert, Jean I","Vleugaert, Joannes I"
a::06.6521,"Langenacker, van, Petrus","Langenacker, van, Pierre","Langenacker, van, Petrus"
a::06.6522,"Rodenbach, J.","Rodenbach, J.","Rodenbach, J."
a::06.6524,"Vorsterman, Willem","Vorsterman, Guillaume","Vorsterman, Willem"
a::06.6525,"Heybergs, Jacques","Heybergs, Jacques","Heybergius, Jacobus"
a::06.6526,"Plantin, Christophorus [Widow] & Jan I Moretus","Plantin, Christophe [Veuve] & Jan I Moretus","Plantijn, Christophorus [Weduwe] & Jan I Moretus"
a::06.6527,"Nutius, Philippus","Nutius, Philippus","Nutius, Philippus"
a::06.6528,"Gravius, Bartholomeus","Gravius, Bartholomeus","Gravius, Bartholomeus"
a::06.6529,"Rotarius, Martinus","Rotarius, Martinus","Rotarius, Martinus"
a::06.6530,"Sassenus, Servatius II","Sassenus, Servatius II","Sassenus, Servatius II"
a::06.6531,"Mudaeus, Gabriel [Widow and heirs]","Mudaeus, Gabriel [Veuve et héritiers]","Mudaeus, Gabriel [Weduwe en erfgenamen]"
a::06.6532,"Bellerus, Joannes I","Bellerus, Joannes I","Bellerus, Joannes I"
a::06.6533,"Sassenus, Servatius I","Sassenus, Servatius I","Sassenus, Servatius I"
a::06.6534,"Birckman, Arnold I [Heirs]","Birckman, Arnold I [Héritiers]","Birckman, Arnold I [Erfgenamen]"
a::06.6535,"Plantin, Christophe, Joannes Steelsius [widow] & Philippus Nutius","Plantin, Christophe, Joannes Steelsius [veuve] & Philippus Nutius","Plantijn, Christophorus, Joannes Steelsius [weduwe] & Philippus Nutius"
a::06.6537,"Verwithagen, Jan I","Verwithagen, Jan I","Verwithagen, Jan I"
a::06.6538,"Steelsius, Joannes","Steelsius, Joannes","Steelsius, Joannes"
a::06.6539,"Steene, van den, Jan I","Steene, van den, Jan I","Steene, van den, Jan I"
a::06.6540,"Keere, van den, Hendrik I","Keere, van den, Hendrik I","Keere, van den, Hendrik I"
a::06.6541,"Goltzius, Hubertus","Goltzius, Hubertus","Goltzius, Hubertus"
a::06.6542,"Hamont, van, Michiel","Hamont, van, Michiel","Hamont, van, Michiel"
a::06.6543,"Silvius, Willem","Silvius, Willem","Silvius, Willem"
a::06.6544,"Salenson, van, Jan","Salenson, van, Jan","Salenson, van, Jan"
a::06.6545,"Ghemmert, van, Antuenis","Ghemmert, van, Antuenis","Ghemmert, van, Antuenis"
a::06.6546,"Smits, Gerard","Smits, Gerard","Smits, Gerard"
a::06.6547,"Colinaeus, Petrus","Colinaeus, Petrus","Colinaeus, Petrus"
a::06.6548,"Nutius, Martinus I","Nutius, Martinus I","Nutius, Martinus I"
a::06.6549,"Grapheus, Joannes","Grapheus, Joannes","Grapheus, Joannes"
a::06.6552,"Mesens, Pierre","Mesens, Pierre","Mesens, Peter"
a::06.6553,"Poele, vanden, Jean","Poele, vanden, Jean","Poele, vanden, Jan"
a::06.6554,"Bergaigne, Antoine Marie","Bergaigne, Antoine Marie","Bergaigne, Anthoni Maria"
a::06.6555,"Draecx, Pierre","Draecx, Pierre","Draecx, Peter"
a::06.6556,"Liesvelt, van, Hans","Liesvelt, van, Hans","Liesvelt, van, Hans"
a::06.6557,"Ghelen, van, Jan II","Ghelen, van, Jan II","Ghelen, van, Jan II"
a::06.6558,"Hendrickx, Jacob","Hendrickx, Jacques","Hendrickx, Jacob"
a::06.6559,"Cock, Symon","Cock, Symon","Cock, Symon"
a::06.6560,"Velpius, Reinerus I","Velpius, Reinerus I","Velpius, Reinerus I"
a::06.6561,"Goinus, Antonius","Goinus, Antonius","Goinus, Antonius"
a::06.6562,"Loe, vander, Jan","Loe, vander, Jan","Loe, vander, Jan"
a::06.6563,"Roelants, Jan","Roelants, Jean","Roelants, Jan"
a::06.6564,"Ridder, de, Maarten","Ridder, de, Martin","Ridder, de, Maarten"
a::06.6565,"Hillenius Hoochstratanus, Michael","Hillenius Hoochstratanus, Michael","Hillenius Hoochstratanus, Michael"
a::06.6566,"Heyden, vander, Gielis","Heyden, vander, Gielis","Heyden, vander, Gielis"
a::06.6567,"Gualtheri, Stephanus & Joannes Bathenius","Gualtheri, Stephanus & Joannes Bathenius","Gualtheri, Stephanus & Joannes Bathenius"
a::06.6568,"Waesberge, van, Jan I","Waesberge, van, Jan I","Waesberge, van, Jan I"
a::06.6569,"Plantin, Christophe [Widow]","Plantin, Christophe [Veuve]","Plantijn, Christophorus [Weduwe]"
a::06.6573,"Langhe, de, Joannes","Langhe, de, Jean","Langhe, de, Joannes"
a::06.6574,"Gravius, Bartholomeus & Martinus Rotarius","Gravius, Bartholomeus & Martinus Rotarius","Gravius, Bartholomeus & Martinus Rotarius"
a::06.6575,"Dessain, H.","Dessain, H.","Dessain, H."
a::06.6579,"Rade, van den, Gillis","Rade, van den, Gilles","Rade, van den, Gillis"
a::06.6580,"Steelsius, Joannes [Widow and heirs]","Steelsius, Joannes [Veuve et héritiers]","Steelsius, Joannes [Weduwe en erfgenamen]"
a::06.6581,"Marcour, de, Joannes Judocus Gerardus","Marcour, de, Joannes Judocus Gerardus","Marcour, de, Joannes Judocus Gerardus"
a::06.6582,"Vincent, Philippus Josephus I","Vincent, Philippe Joseph I","Vincent, Philippus Josephus I"
