Loi,E,F,N
a::06.3059,"Ghemmert, van, Jan [Heirs]","Ghemmert, van, Jan [Héritiers]","Ghemmert, van, Jan [Erfgenamen]"
a::06.3063,"Ghelen, van, Jacob","Ghelen, van, Jacob","Ghelen, van, Jacob"
a::06.3064,"Ghelen, van, Jeremias","Ghelen, van, Jeremias","Ghelen, van, Jeremias"
a::06.3067,"Ghemmert, van, Jan [Widow]","Ghemmert, van, Jan [Veuve]","Ghemmert, van, Jan [Weduwe]"
a::06.3071,"Gosin, de, Hieronymus","Gosin, de, Jerôme","Gosin, de, Hieronymus"
a::06.3072,"Graet, Augustinus","Graet, Augustinus","Graet, Augustinus"
a::06.3073,"Graet, Joannes Baptista","Graet, Joannes Baptista","Graet, Joannes Baptista"
a::06.3074,"Graet, Maximiliaen","Graet, Maximiliaen","Graet, Maximiliaen"
a::06.3075,"Graet, Maximiliaen [Heirs]","Graet, Maximiliaen [Héritiers]","Graet, Maximiliaen [Erfgenamen]"
a::06.3076,"Graet, Maximiliaen [Widow]","Graet, Maximiliaen [Veuve]","Graet, Maximiliaen [Weduwe]"
a::06.3077,"Graet, Maximiliaen [Widow and heirs]","Graet, Maximiliaen [Veuve et héritiers]","Graet, Maximiliaen [Weduwe en erfgenamen]"
a::06.3079,"Grieck, de, Jan","Grieck, de, Jan","Grieck, de, Jan"
a::06.3080,"Grieck, de, Judocus","Grieck, de, Judocus","Grieck, de, Judocus"
a::06.3081,"Grieck, de, Lambert","Grieck, de, Lambert","Grieck, de, Lambert"
a::06.3082,"Grieck, de, Lambert & Claudius de Grieck","Grieck, de, Lambert & Claudius de Grieck","Grieck, de, Lambert & Claudius de Grieck"
a::06.3085,"Gymnicus, Engelbertus","Gymnicus, Engelbertus","Gymnicus, Engelbertus"
a::06.3086,"Gymnicus, Engelbertus [Widow]","Gymnicus, Engelbertus [Veuve]","Gymnicus, Engelbertus [Weduwe]"
a::06.3087,"Gymnicus, Guilielmus Engelbertsz.","Gymnicus, Guilielmus Engelbertsz.","Gymnicus, Guilielmus Engelbertsz."
a::06.3091,"Hastens, van, Hendrik","Hastens, van, Hendrik","Hastens, van, Hendrik"
a::06.3092,"Hees, van, Joannes","Hees, van, Joannes","Hees, van, Joannes"
a::06.3096,"Hesl, Jan Baptist","Hesl, Jan Baptist","Hesl, Jan Baptist"
a::06.3097,"Heurck, van, Franciscus Xaverius I","Heurck, van, François Xavier I","Heurck, van, Franciscus Xaverius I"
a::06.3098,"Heylen, van, Gonzales","Heylen, van, Gonzales","Heylen, van, Gonzales"
a::06.3099,"Hoeymaker, de, Ferdinand","Hoeymaker, de, Ferdinand","Hoeymaker, de, Ferdinand"
a::06.3103,"Hoyoux, Hendrick","Hoyoux, Hendrick","Hoyoux, Hendrick"
a::06.3105,"Huyssens, Joannes I","Huyssens, Jean I","Huyssens, Joannes I"
a::06.3108,"Huyssens, Marten","Huyssens, Marten","Huyssens, Marten"
a::06.3109,"Jacobs, Jan Baptist","Jacobs, Jan Baptist","Jacobs, Jan Baptist"
a::06.3110,"Jacobs, Joseph","Jacobs, Joseph","Jacobs, Joseph"
a::06.3111,"Jacobs, Joseph","Jacobs, Joseph","Jacobs, Joseph"
a::06.3112,"Jacobs, Joseph [Widow]","Jacobs, Joseph [Veuve]","Jacobs, Joseph [Weduwe]"
a::06.3113,"Janssens, Gheleyn","Janssens, Gheleyn","Janssens, Gheleyn"
a::06.3116,"Jaye, Hendrick","Jaye, Hendrick","Jaye, Hendrick"
a::06.3117,"Jaye, Jan","Jaye, Jan","Jaye, Jan"
a::06.3118,"Jeghers, Christophe","Jeghers, Christophe","Jeghers, Christophe"
a::06.3120,"Jouret, Petrus","Jouret, Petrus","Jouret, Petrus"
a::06.3121,"Keerberghen, van, Jan I","Keerberghen, van, Jan I","Keerberghen, van, Jan I"
a::06.3122,"Keerberghen, van, Jan II","Keerberghen, van, Jan II","Keerberghen, van, Jan II"
a::06.3123,"Kerchove, van den, Jan","Kerchove, van den, Jan","Kerchove, van den, Jan"
a::06.3124,"Kerchove, van den, Jan [Heirs]","Kerchove, van den, Jan [Héritiers]","Kerchove, van den, Jan [Erfgenamen]"
a::06.3125,"Kerchove, van den, Jan [Widow]","Kerchove, van den, Jan [Veuve]","Kerchove, van den, Jan [Weduwe]"
a::06.3126,"Kerchove, van den, Jan [Widow and heirs]","Kerchove, van den, Jan [Veuve et héritiers]","Kerchove, van den, Jan [Weduwe en erfgenamen]"
a::06.3129,"Lacourt, Jan [Fictitious printer]","Lacourt, Jan [Imprimeur fictif]","Lacourt, Jan [Fictieve drukker]"
a::06.3130,"Lange, de, Gerrit","Lange, de, Gerrit","Lange, de, Gerrit"
a::06.3131,"Langhenhove, van, Joos","Langhenhove, van, Joos","Langhenhove, van, Joos"
a::06.3132,"Leeneer, de, Jan Baptist","Leeneer, de, Jan Baptist","Leeneer, de, Jan Baptist"
a::06.3135,"Lesteens, Guilliam","Lesteens, Guilliam","Lesteens, Guilliam"
a::06.3137,"Lobel, de, Philips","Lobel, de, Philips","Lobel, de, Philips"
a::06.3139,"Masius, Bernardinus I","Masius, Bernardinus I","Masius, Bernardinus I"
a::06.3141,"Masius, Bernardinus II [Heirs]","Masius, Bernardinus II [Héritiers]","Masius, Bernardinus II [Erfgenamen]"
a::06.3142,"Masius, Bernardinus II [Widow]","Masius, Bernardinus II [Veuve]","Masius, Bernardinus II [Weduwe]"
a::06.3143,"Maes, Michael","Maes, Michael","Maes, Michael"
a::06.3146,"Manilius, Bauduyn","Manilius, Bauduyn","Manilius, Bauduyn"
a::06.3147,"Manilius, Gualterus","Manilius, Gualterus","Manilius, Gualterus"
a::06.3148,"Manilius, Gualterus [Widow]","Manilius, Gualterus [Veuve]","Manilius, Gualterus [Weduwe]"
a::06.3153,"Masius, Joannes I","Masius, Joannes I","Masius, Joannes I"
a::06.3158,"Meerbeeck, van, Jan","Meerbeeck, van, Jan","Meerbeeck, van, Jan"
a::06.3159,"Meeuwe, Elias","Meeuwe, Elias","Meeuwe, Elias"
a::06.3160,"Mertens, David","Mertens, David","Mertens, David"
a::06.3161,"Mesens, Jacob I","Mesens, Jacob I","Mesens, Jacob I"
a::06.3162,"Mesens, Jacob I [Widow]","Mesens, Jacob I [Veuve]","Mesens, Jacob I [Weduwe]"
a::06.3163,"Mesens, Jacob II","Mesens, Jacob II","Mesens, Jacob II"
a::06.3164,"Mesens, Jacob III","Mesens, Jacob III","Mesens, Jacob III"
a::06.3172,"Meulen, vander, Joos","Meulen, vander, Joos","Meulen, vander, Joos"
a::06.3173,"Meurs, van, Jacobus","Meurs, van, Jacobus","Meurs, van, Jacobus"
a::06.3175,"Meyssens, Joannes","Meyssens, Joannes","Meyssens, Joannes"
a::06.3176,"Michielsen, Philippus","Michielsen, Philippus","Michielsen, Philippus"
a::06.3178,"Moerman, Joannes Baptista","Moerman, Joannes Baptista","Moerman, Joannes Baptista"
a::06.3179,"Mommaert, Jan I","Mommaert, Jean I","Mommaert, Jan I"
a::06.3181,"Mommaert, Jan II","Mommaert, Jean II","Mommaert, Jan II"
a::06.3184,"Montfort, van, Juliaen","Montfort, van, Juliaen","Montfort, van, Juliaen"
a::06.3185,"Moretus, Balthasar I & Jan II","Moretus, Balthasar I & Jean II","Moretus, Balthasar I & Jan II"
a::06.3189,"Moretus, Balthasar II","Moretus, Balthasar II","Moretus, Balthasar II"
a::06.3192,"Moretus, Jan I","Moretus, Jan I","Moretus, Jan I"
a::06.3193,"Moretus, Jan I [Widow and sons]","Moretus, Jan I [Veuve et fils]","Moretus, Jan I [Weduwe en zonen]"
a::06.3200,"Neve, de, Willem","Neve, de, Guillaume","Neve, de, Willem"
a::06.3202,"Nutius, Martinus II [Heirs]","Nutius, Martinus II [Héritiers]","Nutius, Martinus II [Erfgenamen]"
a::06.3203,"Nutius, Martinus II [Heirs] & Jan van Meurs","Nutius, Martinus II [Héritiers] & Jan van Meurs","Nutius, Martinus II [Erfgenamen] & Jan van Meurs"
a::06.3204,"Nutius, Martinus II","Nutius, Martinus II","Nutius, Martinus II"
a::06.3206,Officina Plantiniana,Officina Plantiniana,Officina Plantiniana
a::06.3207,"Ommeren, van, Gijsbrecht","Ommeren, van, Gijsbrecht","Ommeren, van, Gijsbrecht"
a::06.3210,"Pannes, Coenraed","Pannes, Coenraed","Pannes, Coenraed"
a::06.3213,"Parys, Marcelis","Parys, Marcelis","Parys, Marcelis"
a::06.3214,"Pee, van, Ignatius","Pee, van, Ignatius","Pee, van, Ignatius"
a::06.3215,"Pee, van, Pieter I","Pee, van, Pieter I","Pee, van, Pieter I"
a::06.3217,"Pepermans, Jan","Pepermans, Jean","Pepermans, Jan"
a::06.3225,"Ramault, Domyn","Ramault, Domyn","Ramault, Domyn"
a::06.3230,"Rivius, Gerardus","Rivius, Gerardus","Rivius, Gerardus"
a::06.3231,"Roon, van, Antony","Roon, van, Antony","Roon, van, Antony"
a::06.3233,"Saetreuver, Hendrick","Saetreuver, Hendrick","Saetreuver, Hendrick"
a::06.3236,"Sassenus, Jan II","Sassenus, Joannes II","Sassenus, Jan II"
a::06.3237,"Scheybels, Guilliam","Scheybels, Guilliam","Scheybels, Guilliam"
a::06.3242,"Schoevaerdts, Govaerdt","Schoevaerdts, Govaerdt","Schoevaerdts, Govaerdt"
a::06.3244,"Seldenslach, Jacob","Seldenslach, Jacob","Seldenslach, Jacob"
a::06.3245,"Sersanders, Alexander","Sersanders, Alexander","Sersanders, Alexander"
a::06.3246,"Sersanders, Anthone","Sersanders, Anthone","Sersanders, Anthone"
a::06.3247,"t'Serstevens, Franciscus I","t'Serstevens, Franciscus I","t'Serstevens, Franciscus I"
a::06.3250,"Sleghers, Hendrik","Sleghers, Hendrik","Sleghers, Hendrik"
a::06.3251,"Sleghers, Joannes","Sleghers, Joannes","Sleghers, Joannes"
a::06.3252,"Sleghers, Joannes [Widow]","Sleghers, Joannes [Veuve]","Sleghers, Joannes [Weduwe]"
a::06.3253,"Sleghers, Reynier","Sleghers, Reynier","Sleghers, Reynier"
a::06.3254,"Sleghers, Reynier [Widow]","Sleghers, Reynier [Veuve]","Sleghers, Reynier [Weduwe]"
a::06.3255,"Sleghers, Reynier [Widow and heirs]","Sleghers, Reynier [Veuve et héritiers]","Sleghers, Reynier [Weduwe and erfgenamen]"
a::06.3257,"Soest, van, Hendrik","Soest, van, Hendrik","Soest, van, Hendrik"
a::06.3258,"Soest, van, Joannes","Soest, van, Joannes","Soest, van, Joannes"
a::06.3261,"Spits, Theodor","Spits, Theodor","Spits, Theodor"
a::06.3264,"Steene, vanden, Anna","Steene, vanden, Anna","Steene, vanden, Anna"
a::06.3265,"Steene, vanden, Jan III","Steene, vanden, Jan III","Steene, vanden, Jan III"
a::06.3266,"Steene, vanden, Jan IV","Steene, vanden, Jan IV","Steene, vanden, Jan IV"
a::06.3267,"Stevenaerts, Hendrik","Stevenaerts, Hendrik","Stevenaerts, Hendrik"
a::06.3269,"Stichter, Joannes I","Stichter, Joannes I","Stichter, Joannes I"
a::06.3271,"Stroobant, Pauwels","Stroobant, Pauwels","Stroobant, Pauwels"
a::06.3276,"Sweinen, van, Nicolaes","Sweinen, van, Nicolaes","Sweinen, van, Nicolaes"
a::06.3277,"Swingen, Hendrik","Swingen, Hendrik","Swingen, Hendrik"
a::06.3279,"Thieullier, Hendrik I","Thieullier, Hendrik I","Thieullier, Hendrik I"
a::06.3280,"Thieullier, Hendrik I [Widow]","Thieullier, Hendrik I [Veuve]","Thieullier, Hendrik I [Weduwe]"
a::06.3281,"Thieullier, Hendrik II","Thieullier, Hendrik II","Thieullier, Hendrik II"
a::06.3285,"Tongheren, van, Guilliam","Tongheren, van, Guilliam","Tongheren, van, Guilliam"
a::06.3289,"Trognesius, Caesar Joachim","Trognesius, Caesar Joachim","Trognesius, Caesar Joachim"
a::06.3290,"Trognesius, Joachim","Trognesius, Joachim","Trognesius, Joachim"
